Name,Publisher,Global_Sales,Top_Selling_Game
Wii Sports,Nintendo,82.74,1
Grand Theft Auto V,Take-Two Interactive,55.92,2
Super Mario Bros.,Nintendo,45.31,3
Tetris,Nintendo,35.84,4
Mario Kart Wii,Nintendo,35.82,5
Wii Sports Resort,Nintendo,33.0,6
Pokemon Red/Pokemon Blue,Nintendo,31.37,7
Call of Duty: Black Ops,Activision,31.03,8
Call of Duty: Modern Warfare 3,Activision,30.83,9
New Super Mario Bros.,Nintendo,30.01,10
Call of Duty: Black Ops II,Activision,29.72,11
Wii Play,Nintendo,29.02,12
New Super Mario Bros. Wii,Nintendo,28.62,13
Duck Hunt,Nintendo,28.31,14
Call of Duty: Ghosts,Activision,27.38,15
Super Mario World,Nintendo,26.07,16
Call of Duty: Black Ops 3,Activision,25.32,17
Call of Duty: Modern Warfare 2,Activision,25.09,18
Nintendogs,Nintendo,24.76,19
Grand Theft Auto: San Andreas,Take-Two Interactive,23.86,20
Mario Kart DS,Nintendo,23.42,21
Pokemon Gold/Pokemon Silver,Nintendo,23.1,22
Wii Fit,Nintendo,22.72,23
Super Mario Bros. 3,Nintendo,22.48,24
Grand Theft Auto IV,Take-Two Interactive,22.47,25
Super Mario 64,Nintendo,22.31,26
Wii Fit Plus,Nintendo,22.0,27
Call of Duty: Advanced Warfare,Activision,21.9,28
Kinect Adventures!,Microsoft Game Studios,21.82,29
Brain Age: Train Your Brain in Minutes a Day,Nintendo,20.22,30
The Elder Scrolls V: Skyrim,Bethesda Softworks,19.28,31
FIFA 15,Electronic Arts,19.02,32
Pokemon Diamond/Pokemon Pearl,Nintendo,18.36,33
Call of Duty 4: Modern Warfare,Activision,18.25,34
Super Mario Land,Nintendo,18.14,35
Battlefield 3,Electronic Arts,17.36,36
FIFA 14,Electronic Arts,17.14,37
FIFA 16,Electronic Arts,16.44,38
Guitar Hero III: Legends of Rock,Activision,16.39,39
Grand Theft Auto: Vice City,Take-Two Interactive,16.19,40
FIFA Soccer 13,Electronic Arts,16.16,41
Call of Duty: World at War,Activision,15.87,42
Pokemon Ruby/Pokemon Sapphire,Nintendo,15.85,43
LEGO Star Wars: The Complete Saga,LucasArts,15.75,44
The Sims 3,Electronic Arts,15.45,45
Pokemon Black/Pokemon White,Nintendo,15.32,46
Brain Age 2: More Training in Minutes a Day,Nintendo,15.3,47
Gran Turismo 3: A-Spec,Sony Computer Entertainment,14.98,48
Pokémon Yellow: Special Pikachu Edition,Nintendo,14.64,49
Pokemon X/Pokemon Y,Nintendo,14.35,50
Need for Speed: Most Wanted,Electronic Arts,14.08,51
Battlefield 4,Electronic Arts,14.03,52
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,13.67,53
Donkey Kong Country,Nintendo,13.53,54
Mario & Sonic at the Olympic Games,Sega,13.2,55
Assassin's Creed IV: Black Flag,Ubisoft,13.16,56
FIFA 12,Electronic Arts,13.15,57
Grand Theft Auto III,Take-Two Interactive,13.11,58
Assassin's Creed III,Ubisoft,13.1,59
Super Smash Bros. Brawl,Nintendo,13.04,60
Red Dead Redemption,Take-Two Interactive,12.94,61
Just Dance 3,Ubisoft,12.92,62
Destiny,Activision,12.61,63
FIFA Soccer 11,Electronic Arts,12.56,64
Super Smash Bros. for Wii U and 3DS,Nintendo,12.47,65
Fallout 4,Bethesda Softworks,12.28,66
Animal Crossing: Wild World,Nintendo,12.27,67
Mario Kart 7,Nintendo,12.21,68
Halo 3,Microsoft Game Studios,12.14,69
Minecraft,Microsoft Game Studios,12.04,70
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,11.9,71
The Legend of Zelda: Ocarina of Time,Nintendo,11.81,72
Star Wars Battlefront (2015),Electronic Arts,11.7,73
Gran Turismo 4,Sony Computer Entertainment,11.66,74
Super Mario Galaxy,Nintendo,11.52,75
Assassin's Creed II,Ubisoft,11.41,76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,11.33,77
Assassin's Creed,Ubisoft,11.3,78
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,11.26,79
Batman: Arkham City,Warner Bros. Interactive Entertainment,11.2,80
Super Mario Land 2: 6 Golden Coins,Nintendo,11.18,81
Diablo III,Activision,11.08,82
Need for Speed Underground 2,Electronic Arts,10.97,83
Gran Turismo,Sony Computer Entertainment,10.95,84
Super Mario 3D Land,Nintendo,10.79,85
Gran Turismo 5,Sony Computer Entertainment,10.77,86
FIFA Soccer 10,Electronic Arts,10.74,87
Super Mario All-Stars,Nintendo,10.55,88
Pokemon FireRed/Pokemon LeafGreen,Nintendo,10.49,89
Need for Speed Underground,Electronic Arts,10.46,90
Star Wars: The Force Unleashed,LucasArts,10.23,91
Dr. Mario,Nintendo,10.19,92
Guitar Hero: World Tour,Activision,10.05,93
Fallout 3,Bethesda Softworks,9.96,94
Halo: Reach,Microsoft Game Studios,9.88,95
Mario Kart 64,Nintendo,9.87,96
LEGO Marvel Super Heroes,Warner Bros. Interactive Entertainment,9.86,97
New Super Mario Bros. 2,Nintendo,9.82,98
Zumba Fitness,505 Games,9.79,99
Halo 4,Microsoft Game Studios,9.76,100
