Publisher,Total_Sales
Nintendo,1786.56
Electronic Arts,1110.32
Activision,727.46
Sony Computer Entertainment,607.5
Ubisoft,474.72
Take-Two Interactive,399.54
THQ,340.77
Konami Digital Entertainment,283.64
Sega,272.99
Namco Bandai Games,254.09
Microsoft Game Studios,245.79
Capcom,200.89
Atari,157.22
Warner Bros. Interactive Entertainment,153.89
Square Enix,145.18
Disney Interactive Studios,119.96
Eidos Interactive,98.98
LucasArts,87.34
Bethesda Softworks,82.14
Midway Games,69.85
Acclaim Entertainment,64.14
Vivendi Games,58.21
SquareSoft,57.65
505 Games,55.91
Tecmo Koei,53.55
Codemasters,47.87
Virgin Interactive,43.87
Unknown,34.66
Enix Corporation,33.74
Deep Silver,25.67
