Year,Platform,Total_Global_Sales,Sales_Rank
1980,2600,11.38,1
1981,2600,35.77,1
1982,2600,28.86,1
1983,NES,10.96,1
1984,NES,50.09,1
1985,NES,53.44,1
1986,NES,36.41,1
1987,NES,19.76,1
1988,NES,45.01,1
1989,GB,64.98,1
1990,SNES,26.16,1
1991,SNES,16.21,1
1992,SNES,32.98,1
1993,SNES,40.01,1
1994,SNES,35.08,1
1995,PS,35.92,1
1996,PS,94.68,1
1997,PS,136.08,1
1998,PS,169.58,1
1999,PS,144.57,1
2000,PS,96.28,1
2001,PS2,166.43,1
2002,PS2,205.4,1
2003,PS2,184.29,1
2004,PS2,211.78,1
2005,PS2,160.65,1
2006,Wii,137.91,1
2007,Wii,154.97,1
2008,Wii,174.16,1
2009,Wii,210.44,1
2010,X360,171.05,1
2011,PS3,159.37,1
2012,PS3,109.49,1
2013,PS3,117.39,1
2014,PS4,98.76,1
2015,PS4,115.3,1
2016,PS4,39.25,1
2017,PS4,0.03,1
2020,DS,0.29,1
N/A,PS2,22.18,1
