Platform,Genre,Combination_Performance
PS3,Action,307.88
Wii,Sports,292.06
X360,Shooter,278.55
PS2,Sports,273.41
DS,Misc,137.76
PS,Action,127.05
NES,Platform,95.78
GB,Role-Playing,88.24
PS4,Action,87.06
GBA,Platform,78.3
3DS,Role-Playing,75.74
SNES,Platform,65.65
PSP,Action,64.72
XB,Shooter,63.55
PC,Simulation,51.91
XOne,Shooter,51.61
N64,Racing,40.09
GC,Action,37.84
2600,Action,29.34
WiiU,Platform,21.24
PSV,Action,20.01
GEN,Platform,15.45
SAT,Fighting,8.52
DC,Sports,3.66
SCD,Platform,1.5
NG,Fighting,1.42
WS,Role-Playing,1.22
TG16,Adventure,0.14
3DO,Adventure,0.06
GG,Platform,0.04
PCFX,Role-Playing,0.03
